model,MAE,RMSE,R2
Random Forest,2814.186615746123,4171.9536146955,0.8971506548686513
Decision Tree,3195.47466373489,4907.322038323871,0.8576977697565902
KNN,3711.9441945467943,6019.375550853326,0.7858956611584988
Linear Regression,4994.516620542146,7092.7192468948015,0.7027320232448314
