feature,importance
max_power,0.49873711827098743
car_age,0.30100711634849336
engine,0.05435248602670451
km_driven,0.047914305018450426
mileage(km/ltr/kg),0.03794849658072668
brand,0.031990729681446235
seats,0.00639957790168712
transmission,0.006342134620723578
owner,0.00631673992650694
fuel,0.006142823855005073
seller_type,0.002848471769268629
